id;nazwa;miasto;kod;link www;e-mail;tel 1;tel 2;fax;x;y;ulica;numer
5446;Grunwaldzka 607/Bitwy Oliwskiej 14;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421604;18.565584;Grunwaldzka/Bitwy Oliwskiej;14
5447;Grunwaldzka 595;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421223;18.565610;Grunwaldzka;595
5448;Grunwaldzka 543;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415390;18.566577;Grunwaldzka ;543
5449;Grunwaldzka 553;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.416493;18.566706;Grunwaldzka;553
5450;Grunwaldzka 557;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.416615;18.566011;Grunwaldzka;557
5451;Grunwaldzka 585;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.419896;18.565231;Grunwaldzka;585
5452;Grunwaldzka 560 Shell;Gdañsk;80-236;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415684;18.565303;Grunwaldzka;560
5453;Droszyñskiego 5A;Gdañsk;80-381;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.410609;18.573508;Droszyñskiego;5A
5454;Beniowskiego 4/Dar³owska przy trafostacji;Gdañsk;80-382;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406650;18.580953;Beniowskiego/Dar³owska;4
5455;Beniowskiego 68-70;Gdañsk;80-382;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412334;18.576693;Beniowskiego;68-70
5456;S³owiañska 28;Gdañsk;80-381;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.409205;18.576016;S³owiañska;28
5457;Kêtrzyñskiego 24b;Gdañsk;80-376;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.412150;18.583683;Kêtrzyñskiego;24b
5458;Ch³opska 31;Gdañsk;80-349;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.410530;18.586861;Ch³opska;31
5459;W³adys³awowska 2F;Gdañsk;80-388;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407596;18.583062;W³adys³awowska ;2F
5460;Œl¹ska 35;Gdañsk;80-379;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407957;18.587061;Œl¹ska;35
5461;Œl¹ska 39;Gdañsk;80-379;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407681;18.587427;Œl¹ska;39
5462;Œl¹ska 16;Gdañsk;80-384;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406123;18.577940;Œl¹ska;16
5463;Arkoñska 25;Gdañsk;80-387;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403108;18.579316;Arkoñska;25
5464;Œl¹ska 84;Gdañsk;80-389;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406043;18.588090;Œl¹ska;84
5466;Piastkowska 5;Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.411771;18.568016;Piastkowska;5
5467;Ko³obrzeska 39;Gdañsk;80-390;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403219;18.585814;Ko³obrzeska;39
5468;Ko³obrzeska 27;Gdañsk;80-390;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403017;18.584623;Ko³obrzeska;27
5469;Lêborska 21;Gdañsk;80-387;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.404813;18.583048;Lêborksa;21
5470;Ko³obrzeska 20;Gdañsk;80-394;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401705;18.580783;Ko³obrzeska;20
5471;"Ko³obrzeska 32 ""real"" przy Krynickiej";Gdañsk;80-390;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403330;18.588732;Ko³obrzeska;32
5472;Fromborska 24;Gdañsk;80-389;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405712;18.582958;Fromborska;24
5473;Grunwaldzka 574;Gdañsk;80-320;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417691;18.564592;Grunwaldzka;574
5474;Gdyñska 4;Gdañsk;80-340;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420734;18.578934;Gdyñska;4
5475;Szyprów 3 (Szko³a Podstawowa nr89);Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422555;18.576093;Szyprów;3
5476;Ch³opska 66;Gdañsk;80-350;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.419660;18.587105;Ch³opska;66
5477;Ch³opska 70/72;Gdañsk;80-350;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.419319;18.584986999999956;Ch³opska;70/72
5478;Pomorska 94;Gdañsk;80-333;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417698;18.578591;Pomorska ;94
5479;Pomorska 82;Gdañsk;80-345;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.419062;18.583204;Pomorska;82
5480;Pomorska 88;Gdañsk;80-345;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418243;18.580138;Pomorska;88
5481;Pomorska 86;Gdañsk;80-345;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417627;18.578467;Pomorska;86
5482;Pomorska 41;Gdañsk;80-343;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421300;18.586972;Pomorska;41
5483;Gospody 20;Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.424032;18.576906;Gospody;20
5484;Gospody 17;Gdañsk;80-340;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.424431;18.582938;Gospody;17
5485;Gospody 17 Administracja;Gdañsk;80-340;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.424165;18.582287;Gospody;17
5486;Gospody18/Szyprów 4;Gdañsk;80-335;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422557;18.576073;Gospody/Szyprów;18-kwi
5487;Gospody 5;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420754;18.582575;Gospody;5
5488;Gospody 10;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421337;18.579118;Gospody;10
5489;Gospody 25;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423809;18.580763;Gospody;25
5490;Gospody 21;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423594;18.579074;Gospody;21
5491;Gospody 23;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423713;18.579918;Gospody;23
5492;Gospody 3A;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420706;18.583248;Gospody;3A
5493;Gospody 3B;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420729;18.584013;Gospody;3B
5494;Wejhera 7;Gdañsk;80-346;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421497;18.584537;Wejehra;7
5495;Wejhera 11;Gdañsk;80-346;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422027;18.586060;Wejhera;11
5496;Wejhera 15;Gdañsk;80-346;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422577;18.587481;Wejhera;15
5497;Or³owska 5-7;Gdañsk;80-347;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423774;18.586046;Or³owska;07-maj
5498;Or³owska 5;Gdañsk;80-347;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423569;18.586378;Or³owska;5
5499;Or³owska 9;Gdañsk;80-347;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423345;18.585069;Or³owska;9
5500;Or³owska 13 (Szko³a Podstawowa nr 77);Gdañsk;80-347;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.424095;18.584406;Or³owska;13
5501;Powstania Koœciuszkowskiego 1/2;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.352156;18.571226;Powstania Koœciuszkowskiego;02-sty
5502;Pas nadmorski (Bar Karmazyn) (jelitkowo);Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.423938;18.599761;Jantarowa;4
5503;Powstania Listopadowego 3;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.354728;18.576983;Powstania Listopadowego;3
5504;Powstania Listopadowego 5;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355499;18.576151;Powstania Listopadowego;5
5505;Pas nadmorski (wejœcie 72) (jelitkowo);Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.426109;18.596641;wejœcie 72;
5506;Powstania Styczniowego 3;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.353873;18.572743;Powstania Styczniowego ;3
5507;Powstania Styczniowego 9-11;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355391;18.571848;Powstania Styczniowego;11-wrz
5508;Ergo Arena;Gdañsk;80-344;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.426615;18.580496;Plac Dwóch Miast ;1
5509;Zwi¹zku Jaszczurczego 1;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355269;18.575708;Zwi¹zku Jaszczurczego;1
5510;Kapiliczna 30;Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.422811;18.597145;Kapiliczna;30
5511;Tysi¹clecia 27;Gdañsk;80-351;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418853;18.592166;Tysi¹clecia;27
5512;Kusociñskiego 8;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.356425;18.577556;Jana Kusociñskiego;8
5513;Tysi¹clecia 13;Gdañsk;80-351;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.418502;18.589199;Tysi¹clecia;13
5514;Zwi¹zku Jaszczurczego 2;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355566;18.575339;Zwi¹zku Jaszczurczego;2
5515;Zwi¹zku Jaszczurczego 9;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.353703;18.573436;Zwi¹zku Jaszczurczego;9
5516;Buloñska 8;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.356642;18.579758;Buloñska ;8
5517;Ch³opska 44;Gdañsk;80-368;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415566;18.588874;Ch³opska;44
5518;Buloñska 12;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355830;18.579095;Buloñska;12
5519;Piastowska 90;Gdañsk;80-352;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.416348;18.590222;Piastowska;90
5520;Buloñska 18;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.354511;18.577914;Buloñska;18
5521;Piastowska 92A (¯³obek);Gdañsk;80-358;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415519;18.590065;Piastowska;92A
5522;Buloñska 26;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.353336;18.579269;Buloñska;26
5523;Piastowska 92B (Przedszkole);Gdañsk;80-358;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.414771;18.590385;Piastowska;92B
5524;Buloñska 44;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.352495; 18.578495;Buloñska;44
5525;Buloñska 46;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.352423;18.576424;Buloñska;46
5526;Piastowska 104 (Przy sklepie);Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417312;18.592705;Piastowska;104
5527;Budapesztañska 6;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.353685;18.580700;Budapesztañska;6
5528;Piastowska 104;Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.417309;18.592693;Piastowska;104
5529;Budapesztañska 13-15;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.353405;18.582704;Budapesztañska;13-15
5530;Piastowska 102;Gdañsk;80-358;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.416620;18.593423;Piastowska;102
5531;Piastowska 100;Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421736;18.601889;Piastowska;100
5532;Burgaska 3;Gdañsk;80-287;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355512;18.581537;Burgaska ;3
5533;Piastowska 70-74;Gdañsk;80-363;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.414659;18.584907;Piastowska;70-74
5534;Burgaska 4-9;Gdañsk;80-287;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355732;18.581966;Burgaska;09-kwi
5535;Piastowska 56;Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.414317;18.580097;Piastowska;56
5536;Poznañska 8;Gdañsk;80-353;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.413229;18.580991;Poznañska;8
5537;Burgaska 5 (przedszkole);Gdañsk;80-287;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355133;18.582421;Burgaska ;5
5538;Piastowska 66K;Gdañsk;80-353;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.409745;18.582137;Poznañska;66K
5539;Warneñska 4;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357172; 18.583603;Warneñska;4
5540;Piastowska 60;Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.414498;18.579966;Piastowska;60
5541;Warneñska 7;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.356475;18.583428;Warneñska;7
5542;Wypoczynkowa 32;Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420124;18.604468;Wypoczynkowa;32
5543;Warneñska 8;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357298;18.585387;Warneñska;8
5544;Piastowska 82;Gdañsk;80-363;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415072;18.586438;Piastowska;82
5545;Warneñska 9;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.355859;18.585272;Warneñska;9
5546;Warneñska 12;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357192;18.586272;Warneñska;12
5548;Warneñska 16;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.356065;18.586930;Warneñska;16
5549;Piastowska 98;Gdañsk;80-358;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.416477;18.592300;Piastowska;98
5550;Piastowska 175-177;Gdañsk;80-332;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.420539;18.600116;Piastowska;175-177
5551;Piastowska 183-185;Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421366;18.600583;Piastowska;183-185
5552;Piastowska 179-181;Gdañsk;80-341;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.421287;18.599703;Piastowska;179-181
5553;D¹broszczaków 8;Gdañsk;80-365;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415500;18.595841;D¹broszczaków;8
5554;D¹broszczaków 10;Gdañsk;80-365;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.415155;18.596785;D¹broszczaków;10
5555;Rzeczypospolitej 4 (robyg);Gdañsk;80-369;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401871;18.591414;Rzeczypospolitej;4
5556;Rzeczypospolitej 4;Gdañsk;80-369;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.402180;18.590635;Rzeczypospolitej;4
5557;Rzeczypospolitej 8 SHELL;Gdañsk;80-369;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.400807;18.591613;Rzeczypospolitej;8
5558;Marusarzówny 2;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357598;18.578267;Marusarzówny;2
5559;Rzeczypospolitej 5;Gdañsk;80-980;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.402126;18.595329;Rzeczypospolitej;5
5560;Marusarzówny 7;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357860; 18.576175;Marusarzówny;7
5561;Rzeczypospolitej 7;Gdañsk;80-369;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.400643;18.593210;Rzeczypospolitej;7
5562;Marusarzówny 10 (Szko³a);Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358407;18.574178;Marusarzówny;10
5563;Rzeczypospolitej 11;Gdañsk;80-369;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.400774;18.595306;Rzeczypospolitej;11
5564;Marusarzówny 19;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.357586;18.573699;Marusarzówny;19
5565;Opolska 3;Gdañsk;80-325;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403995;18.601143;Opolska;3
5566;Opolska 6;Gdañsk;80-395;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.402166;18.597328;Opolska;6
5567;Wyrobka 5;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359564;18.575165;Romana Wyrobka;5
5568;Opolska 10;Gdañsk;80-395;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.401472;18.59795699999995;Opolska;10
5569;Wyrobka 2/Czecha 1;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360718;18.575830;Romana Wyrobka/Czecha;01-lut
5570;Opolska 9;Gdañsk;80-980;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.402262;18.600874;Opolska;9
5571;Ko³obrzeska 49 (szko³a);Gdañsk;80-391;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405594;18.593902;Ko³obrzeska;49
5572;¯ylewicza 5;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358693;18.576224;Józefa ¯ylewicza;5
5573;Ko³obrzeska 42A;Gdañsk;80-391;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.404269;18.596668;Ko³obrzeska ;42A
5574;Ko³obrzeska 42CD;Gdañsk;80-391;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.404045;18.595254;Ko³obrzeska;42CD
5575;Czecha 2;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.361102;18.574394;Bronis³awa Czecha;2
5576;Ko³obrzeska 42E;Gdañsk;80-391;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.403806;18.593361;Ko³obrzeska ;42E
5577;Czecha 3-9;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360763;18.573446;Bronis³awa Czecha;09-mar
5578;Czecha 11;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360670;18.572653;Bronis³awa Czecha;11
5579;Ko³obrzeska 44;Gdañsk;80-394;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407471;18.593263;Ko³obrzeska ;44
5580;Kolumba 2a;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.361079;18.577876;Krzysztofa Kolumba ;2a
5581;Ko³obrzeska 47;Gdañsk;80-390;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405728;18.594403;Ko³obrzeska ;47
5582;Kolumba 5;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.361427;18.578959;Krzysztofa Kolumba;5
5583;Ko³obrzeska 53M;Gdañsk;80-396;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406774;18.595089;Ko³obrzeska;53M
5584;Ko³obrzeska 53E;Gdañsk;80-396;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.405761;18.595603;Ko³obrzeska;53E
5585;Amundsena 5a;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360248;18.579368;Roalda Amundsena ;5a
5586;Ko³obrzeska 55K;Gdañsk;80-396;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.407080;18.595189;Ko³obrzeska ;55K
5587;Piecewska 35;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359626;18.580778;Piecewska ;35
5588;Ko³obrzeska 65L;Gdañsk;80-396;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408132;18.598693;Ko³obrzeska;65L
5589;Kruczkowskiego 13/15;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360499;18.583350;Leona Kruczkowskiego ;13/15
5590;Ko³obrzeska 67F;Gdañsk;80-396;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406681;18.599771;Ko³obrzeska;67F
5591;Kruczkowskiego 17;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360887;18.582260;Leona Kruczkowskiego;17
5592;Ko³obrzeska 71 (Przedszkole);Gdañsk;80-980;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408181;18.600915;Ko³obrzeska;71
5593;Arctowskiego 3;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359968;18.584944;Henryka Arctowskiego ;3
5594;Ko³obrzeska 75 (szko³a);Gdañsk;80-980;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406603;18.600941;Ko³obrzeska;75
5595;Arctowskiego 4-6-8;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359546;18.586262;Henryka Arctowskiego;2004-06-08
5596;Ko³obrzeska 58;Gdañsk;80-394;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406661;18.607315;Ko³obrzeska;58
5597;Piecewska 18/20;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.358159;18.58932;Piecewska;18/20
5598;Piecewska 30;Gdañsk;80-288;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.359505;18.582941;Piecewska;30
5599;D¹browszczaków 34A;Gdañsk;80-364;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.408278;18.604534;D¹browszczaków;34A
5600;Dobrowolskiego 1-3;Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360339;18.587405;Dobrowolskiego;03-sty
5601;Dobrowolskiego 6 (Szko³a);Gdañsk;80-286;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.360450;18.587181;Dobrowolskiego;6
5602;Olsztyñska 5AB;Gdañsk;80-395;www.zut.com;zut@zut.com.pl;326-01-00;326-01-11;322-15-76;54.406230;18.607026;Olsztyñska ;5AB
